id,task,sid,eye,stimfile,trialid,start_ms,end_ms,duration_ms,start_x,end_y,start_y,ampl_x,ampl_y,avg_vel_x,avg_vel_y,peak_vel_x,peak_vel_y,end_x,avg_vel,peak_vel,ampl
0,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,891032.227,891068.232,36.00500000000466,163.8,283.2,188.04,259.24,95.16,189.4172525049668,70.21540007078028,463.37028226695986,250.64594911249188,423.04,213.05739926494616,467.2277945667243,276.1535862522883
1,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,891192.251,891224.259,32.00799999991432,444.675,198.715,294.145,102.59499999999997,95.42999999999998,84.32260345470857,78.43370581088585,205.7374540387743,207.7428846329799,342.08000000000004,124.63499634998934,229.64047262301017,140.1164477318776
2,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,892348.123,892376.118,27.994999999995343,338.875,196.98000000000002,198.95,42.80000000000001,1.9699999999999704,45.991405595727535,6.22109411301008,106.07784018144136,20.130120369315215,381.675,46.738243752696505,107.9709679665906,42.84531362938076
3,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,892952.136,892996.146,44.0099999998929,414.245,208.89499999999998,217.755,58.19999999999999,8.860000000000014,43.097440318027594,6.133147733614337,140.2815142830698,13.807882820992255,472.445,44.96412480530164,140.28161059165956,58.87053252689327
4,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,893691.985,893731.987,40.00199999997858,467.09000000000003,199.79000000000002,201.70999999999998,16.96999999999997,1.919999999999959,13.173130338389996,2.8213244238602644,34.42968458828387,12.36443305176186,484.06,14.017361781169546,36.58254208690551,17.078269818690618
5,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,893984.04,894040.058,56.01799999992363,500.145,216.945,213.33999999999997,47.35000000000002,3.605000000000018,27.53037323754986,4.167904291775086,161.22346989082632,10.35591211604598,547.495,29.702205436458446,161.2240363691378,47.487035335973566
6,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,894607.711,894655.621,47.910000000032596,543.8199999999999,200.13,201.51,11.259999999999991,1.3799999999999955,6.880554805089933,5.260418301688282,19.209867792054506,17.957766632365864,555.0799999999999,9.585522667477472,21.183205344868004,11.344249644643748
7,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,895131.864,895155.86,23.99600000004284,565.845,205.26,200.955,77.68999999999994,4.304999999999978,107.73468011110829,5.169480147435038,231.6608460215942,9.374320760220474,643.535,108.08165068855965,231.8210818674148,77.80918406589284
8,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,895751.873,895799.841,47.96799999999348,622.105,211.70499999999998,205.99,43.190000000000055,5.714999999999975,27.531484325132563,8.2289583451486,70.85267237826432,26.287564016861708,665.2950000000001,30.334710900114533,70.97390175957798,43.566470192109946
9,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,896211.799,896259.787,47.98800000001211,697.94,210.95999999999998,217.83499999999998,42.719999999999914,6.875,27.081371085417157,7.699551759027642,95.42071763298026,16.9724544290307,740.66,28.659780940640374,96.91840672926105,43.269666337978535
10,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,896863.761,896895.759,31.997999999905005,744.59,224.29000000000002,220.33999999999997,45.90999999999997,3.9500000000000455,52.66702079008577,5.903051035485429,192.96407752058207,10.621574137550834,790.5,53.58983746159714,192.96448100642348,46.07961154350151
11,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,897191.731,897215.735,24.00399999995716,799.565,215.135,212.6,44.78500000000008,2.5349999999999966,69.31651831432633,6.876955766570078,177.0481583794846,11.440817194536685,754.78,70.01580910085546,177.06721659018962,44.856687907156136
12,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,897391.726,897419.72,27.993999999947846,746.505,223.60000000000002,226.925,52.69999999999993,3.3249999999999886,51.001759193583624,3.726214970245361,128.51042529888085,14.96602086280823,799.2049999999999,51.532178984790946,129.37894415616958,52.80478789844717
13,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,898131.679,898155.667,23.988000000012107,801.25,213.925,214.82,63.79500000000007,0.8949999999999818,69.96308495873502,1.913717113462189,187.6978131616968,3.5861633014239147,737.4549999999999,70.21032930648083,187.69846194503376,63.80127780852049
14,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,898611.572,898643.564,31.991999999969266,729.06,219.235,216.18,46.61500000000001,3.055000000000007,59.794187200755616,5.579365470148456,167.29051012800377,12.334632579596445,775.675,60.41763736156361,167.2951794059909,46.71500026758001
15,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,900471.386,900503.346,31.959999999962747,824.8,225.49,227.32999999999998,22.850000000000023,1.839999999999975,18.80857023627199,7.93499418282978,47.1819363651249,17.483327431878198,847.65,22.164454303528665,47.560950409343334,22.923963444395934
16,T5_Pseudo_Text,1189,b,s7_stimuli_t5.jpg,166,900727.301,900755.318,28.01699999999255,862.81,218.435,236.635,10.285000000000082,18.19999999999999,13.16919610128953,17.08933721956152,35.75112059633243,26.15615073040519,873.095,23.415359812995636,44.29770699398763,20.905052618924483
